date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:52	6699/6699	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2010%20Sep%202016%2015:28:32%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/page-4_img4_original.jpg	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/page-4_img4_original.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:28:52	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:28:32%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/page-4_img4.jpg	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/page-4_img4.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:06	65489/65489	---M--	200	added ('OK')	image/jpeg	etag:%2255b160da-ffd1%22	http://static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img4.jpg	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img4.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:07	6699/6699	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2010%20Sep%202016%2015:28:47%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/page-4_img5_original.jpg	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/page-4_img5_original.8a.delayed	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:07	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:28:47%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/page-4_img5.jpg	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/page-4_img5.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:08	6699/6699	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2010%20Sep%202016%2015:28:48%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/page-4_img6_original.jpg	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/page-4_img6_original.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:08	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:28:48%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/page-4_img6.jpg	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/page-4_img6.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:10	139790/139790	---M--	200	added ('OK')	image/jpeg	etag:%2255b160da-2220e%22	http://static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img1.jpg	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img1.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:11	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:28:51%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/page-4_img7.jpg	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/page-4_img7.90.delayed	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:15	165258/165258	---M--	200	added ('OK')	image/jpeg	etag:%2255b160da-2858a%22	http://static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img2.jpg	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img2.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:16	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:28:56%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/page-4_img8.jpg	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/page-4_img8.92.delayed	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:30	138201/138201	---M--	200	added ('OK')	image/jpeg	etag:%2255b160da-21bd9%22	http://static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img6.jpg	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img6.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:31	0/-1	---M--	301	error ('')			http://livedemo00.template-help.com/constrex_v1-2/images/favicon.ico	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/favicon.94.delayed	(from http://livedemo00.template-help.com/constrex_v1-2/index-4.html)
10:29:31	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:11%20GMT	http://livedemo00.template-help.com/constrex_v1-2/css/mailform.css	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/css/mailform.95.delayed	(from http://livedemo00.template-help.com/constrex_v1-2/index-4.html)
10:29:32	34538/34538	---MCZ	200	added ('OK')	text/css	etag:W/%2256f8ed24-86ea%22	http://static.livedemo00.template-help.com/constrex_v1-2/css/mailform.css	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/css/mailform.css	(from http://livedemo00.template-help.com/constrex_v1-2/index-4.html)
10:29:35	8464/8464	---M--	200	added ('OK')	image/jpeg	etag:%2255b15f3a-2110%22	http://static.livedemo00.template-help.com/constrex_v1-2/images/page-1_img12.jpg	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/images/page-1_img12.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:29:35	35951/35951	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255065fb8-8c6f%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/bootstrap.min.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/bootstrap.min.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:29:35	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:15%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.cookie.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.cookie.97.delayed	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:35	3066/3066	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225465aca6-bfa%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.cookie.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.cookie.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:36	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:16%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.easing.1.3.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:36	8097/8097	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22551298aa-1fa1%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.easing.1.3.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:36	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:17%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/tmstickup.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/tmstickup.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:36	2295/2295	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255a6244e-8f7%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/tmstickup.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/tmstickup.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:37	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:17%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.ui.totop.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.ui.totop.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:37	1222/1222	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22551be4d0-4c6%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.ui.totop.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.ui.totop.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:38	6699/6699	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2010%20Sep%202016%2015:29:18%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.equalheights.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.equalheights.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:38	6699/6699	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2010%20Sep%202016%2015:29:18%20GMT	http://livedemo00.template-help.com/constrex_v1-2/superfish.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/superfish.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:38	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:19%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.responsive.tabs.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.responsive.tabs.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:39	8969/8969	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22559bf6d6-2309%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.responsive.tabs.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.responsive.tabs.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:39	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:20%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.rd-navbar.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.rd-navbar.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:40	9999/9999	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225596a024-270f%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.rd-navbar.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.rd-navbar.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:41	6699/6699	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2010%20Sep%202016%2015:29:21%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.ui.accordion.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.ui.accordion.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:41	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:21%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.rd-google-map.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.rd-google-map.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:42	6699/6699	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2010%20Sep%202016%2015:29:22%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/owl.carousel.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/owl.carousel.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:42	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:22%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/wow.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/wow.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:42	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:23%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.mobile.customized.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.mobile.customized.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:43	17528/17528	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225514147a-4478%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.mobile.customized.min.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.mobile.customized.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:43	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:23%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/camera.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/camera.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:44	70830/70830	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225534a332-114ae%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/camera.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/camera.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:44	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:24%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.rd-input-label.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.rd-input-label.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:45	3061/3061	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256e1682c-bf5%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.rd-input-label.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.rd-input-label.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:45	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:25%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.form.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.form.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:45	209643/209643	---M--	200	added ('OK')	image/jpeg	etag:%2255b160da-332eb%22	http://static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img8.jpg	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/images/page-4_img8.jpg	(from http://livedemo00.template-help.com/constrex_v1-2/index-3.html)
10:29:46	15251/15251	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256e1682c-3b93%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.form.min.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.form.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:46	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:26%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.rd-mailform.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.rd-mailform.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:47	31753/31753	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256e1682c-7c09%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.rd-mailform.min.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/mailform-1/jquery.rd-mailform.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
